Make;Model;Displ;Cyl;Trans;Drive;Fuel;Year
CHEVROLET;Tahoe 1500;5.3;8;Auto-6;4WD;Ethanol/Gas;2016
CHEVROLET;Tahoe 1500;5.3;8;Auto-6;4WD;Gasoline;2016
CHEVROLET;Traverse;3.6;6;Auto-6;2WD;Gasoline;2016
CHEVROLET;Traverse;3.6;6;Auto-6;4WD;Gasoline;2016
CHEVROLET;Trax;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Trax;1.4;4;SemiAuto-6;4WD;Gasoline;2016
CHEVROLET;Volt;1.5;4;CVT;2WD;Gasoline/Electricity;2016
CHRYSLER;200;2.4;4;Auto-9;2WD;Ethanol/Gas;2016
CHRYSLER;200;2.4;4;Auto-9;2WD;Gasoline;2016
CHRYSLER;200;3.6;6;Auto-9;2WD;Ethanol/Gas;2016
CHRYSLER;200;3.6;6;Auto-9;4WD;Ethanol/Gas;2016
CHRYSLER;300;3.6;6;Auto-8;2WD;Ethanol/Gas;2016
CHRYSLER;300;3.6;6;Auto-8;2WD;Gasoline;2016
CHRYSLER;300;3.6;6;Auto-8;4WD;Ethanol/Gas;2016
CHRYSLER;300;3.6;6;Auto-8;4WD;Gasoline;2016
CHRYSLER;300;5.7;8;Auto-8;2WD;Gasoline;2016
CHRYSLER;Town & Country;3.6;6;Auto-6;2WD;Ethanol/Gas;2016
CHRYSLER;Town & Country;3.6;6;Auto-6;2WD;Gasoline;2016
DODGE;Challenger;3.6;6;Auto-8;2WD;Gasoline;2016
DODGE;Challenger;5.7;8;Auto-8;2WD;Gasoline;2016
DODGE;Challenger;5.7;8;Man-6;2WD;Gasoline;2016
DODGE;Challenger;6.4;8;Auto-8;2WD;Gasoline;2016
DODGE;Challenger;6.4;8;Man-6;2WD;Gasoline;2016
DODGE;Challenger SRT8;6.2;8;Auto-8;2WD;Gasoline;2016
DODGE;Challenger SRT8;6.2;8;Man-6;2WD;Gasoline;2016
DODGE;Challenger SRT8;6.4;8;Auto-8;2WD;Gasoline;2016
DODGE;Challenger SRT8;6.4;8;Man-6;2WD;Gasoline;2016
DODGE;Charger;3.6;6;Auto-8;2WD;Ethanol/Gas;2016
DODGE;Charger;3.6;6;Auto-8;2WD;Gasoline;2016
DODGE;Charger;3.6;6;Auto-8;4WD;Ethanol/Gas;2016
DODGE;Charger;3.6;6;Auto-8;4WD;Gasoline;2016
DODGE;Charger;5.7;8;Auto-8;2WD;Gasoline;2016
DODGE;Charger;6.4;8;Auto-8;2WD;Gasoline;2016
DODGE;Charger SRT8;6.2;8;Auto-8;2WD;Gasoline;2016
DODGE;Charger SRT8;6.4;8;Auto-8;2WD;Gasoline;2016
DODGE;Dart;1.4;4;AutoMan-6;2WD;Gasoline;2016
DODGE;Dart;1.4;4;Man-6;2WD;Gasoline;2016
DODGE;Dart;2;4;Auto-6;2WD;Ethanol/Gas;2016
DODGE;Dart;2;4;Man-6;2WD;Gasoline;2016
DODGE;Dart;2.4;4;Auto-6;2WD;Gasoline;2016
DODGE;Dart;2.4;4;Man-6;2WD;Gasoline;2016
DODGE;Dart Aero;1.4;4;AutoMan-6;2WD;Gasoline;2016
DODGE;Dart Aero;1.4;4;Man-6;2WD;Gasoline;2016
DODGE;Dart GT;2.4;4;Auto-6;2WD;Gasoline;2016
DODGE;Dart GT;2.4;4;Man-6;2WD;Gasoline;2016
DODGE;Durango;3.6;6;Auto-8;2WD;Gasoline;2016
DODGE;Durango;3.6;6;Auto-8;4WD;Gasoline;2016
DODGE;Durango;5.7;8;Auto-8;2WD;Gasoline;2016
DODGE;Durango;5.7;8;Auto-8;4WD;Gasoline;2016
DODGE;Grand Caravan;3.6;6;Auto-6;2WD;Ethanol/Gas;2016
DODGE;Grand Caravan;3.6;6;Auto-6;2WD;Gasoline;2016
DODGE;Journey;2.4;4;Auto-4;2WD;Gasoline;2016
DODGE;Journey;3.6;6;Auto-6;2WD;Ethanol/Gas;2016
DODGE;Journey;3.6;6;Auto-6;4WD;Gasoline;2016
DODGE;Viper SRT;8.4;10;Man-6;2WD;Gasoline;2016
FERRARI;488 GTB;3.9;8;AutoMan-7;2WD;Gasoline;2016
FERRARI;488 Spider;3.9;8;AutoMan-7;2WD;Gasoline;2016
FERRARI;California T;3.9;8;AutoMan-7;2WD;Gasoline;2016
FERRARI;F12;6.3;12;AutoMan-7;2WD;Gasoline;2016
FERRARI;F12 tdf;6.3;12;AutoMan-7;2WD;Gasoline;2016
FERRARI;F60 America;6.3;12;AutoMan-7;2WD;Gasoline;2016
FERRARI;FF;6.3;12;AutoMan-7;4WD;Gasoline;2016
FIAT;500;1.4;4;Auto-6;2WD;Gasoline;2016
FIAT;500;1.4;4;Man-5;2WD;Gasoline;2016
FIAT;500 Abarth;1.4;4;Auto-6;2WD;Gasoline;2016
FIAT;500 Abarth;1.4;4;Man-5;2WD;Gasoline;2016
FIAT;500L;1.4;4;Auto-6;2WD;Gasoline;2016
